Date,Open,High,Low,Close
08/18/2022,"23,408","23,577","23,236","23,417"
08/17/2022,"23,973","24,447","23,206","23,408"
08/16/2022,"24,070","24,253","23,669","23,973"
08/15/2022,"24,320","25,199","23,912","24,070"
08/14/2022,"24,505","24,992","24,178","24,327"
08/13/2022,"24,235","24,886","24,090","24,505"
08/12/2022,"24,214","24,311","23,634","24,244"
08/11/2022,"23,909","24,859","23,792","24,214"
08/09/2022,"24,073","24,073","22,898","23,147"
08/08/2022,"23,271","24,234","23,081","24,073"
08/07/2022,"23,167","23,285","22,863","23,271"
08/06/2022,"22,969","23,347","22,969","23,167"
08/05/2022,"22,503","23,455","22,467","22,969"
08/04/2022,"23,324","23,367","22,443","22,503"
08/03/2022,"23,015","23,607","22,698","23,324"
08/02/2022,"23,027","23,450","22,679","23,015"
08/01/2022,"23,804","23,824","22,878","23,027"
07/31/2022,"23,979","24,164","23,439","23,804"
07/30/2022,"23,952","24,613","23,704","23,979"
07/29/2022,"24,012","24,310","23,486","23,952"
07/28/2022,"22,795","24,167","22,586","24,012"
07/27/2022,"20,964","23,026","20,834","22,795"
07/26/2022,"22,166","22,176","20,753","20,964"
07/25/2022,"22,749","23,007","21,582","22,166"
07/24/2022,"22,319","22,876","22,242","22,749"
07/23/2022,"22,603","22,999","21,978","22,319"
07/22/2022,"23,134","23,689","22,532","22,603"
07/21/2022,"23,305","23,780","22,376","23,134"
07/20/2022,"23,308","24,258","22,925","23,305"
07/19/2022,"21,514","23,660","21,456","23,308"
07/18/2022,"20,938","22,725","20,756","21,514"
07/17/2022,"21,165","21,645","20,853","20,938"
07/16/2022,"20,925","21,561","20,481","21,165"
07/15/2022,"20,660","21,181","20,384","20,925"
07/14/2022,"19,663","20,835","19,642","20,660"
07/13/2022,"19,434","20,013","18,975","19,663"
07/12/2022,"20,402","20,403","19,306","19,434"
07/11/2022,"20,960","21,158","20,301","20,396"
07/10/2022,"21,686","21,737","20,684","20,960"
07/09/2022,"21,834","21,997","21,323","21,668"
07/08/2022,"21,608","22,336","21,208","21,834"
07/07/2022,"20,394","21,808","20,258","21,608"
07/06/2022,"20,439","20,457","19,765","20,394"
07/05/2022,"19,532","20,692","19,395","20,459"
07/04/2022,"19,106","19,850","19,044","19,532"
07/03/2022,"19,295","19,319","18,782","19,106"
07/02/2022,"19,420","19,489","18,997","19,295"
07/01/2022,"18,731","20,742","18,706","19,414"
06/30/2022,"20,188","20,314","18,669","18,731"
06/29/2022,"20,253","20,414","19,885","20,171"
06/28/2022,"20,900","21,174","20,198","20,253"
06/27/2022,"21,390","21,490","20,553","20,900"
06/26/2022,"21,222","21,857","21,138","21,390"
06/25/2022,"21,194","21,524","20,916","21,222"
06/24/2022,"20,797","21,351","20,676","21,194"
06/23/2022,"19,898","21,023","19,827","20,802"
06/22/2022,"20,836","20,979","19,781","19,898"
06/21/2022,"20,444","21,664","20,257","20,836"
06/20/2022,"20,501","20,940","19,840","20,444"
06/19/2022,"17,727","20,635","17,727","20,501"
06/18/2022,"20,618","20,723","17,630","17,727"
06/17/2022,"20,683","21,268","20,219","20,627"
06/16/2022,"21,693","22,899","20,522","20,683"
06/15/2022,"21,992","22,229","20,111","21,685"
06/14/2022,"23,238","23,329","20,889","21,992"
06/13/2022,"27,383","27,513","22,617","23,251"
