,Id,quality
701,701,6
702,702,6
703,703,4
704,704,4
705,705,5
706,706,5
707,707,5
708,708,6
709,709,6
710,710,5
711,711,5
712,712,5
713,713,5
714,714,5
715,715,6
716,716,5
717,717,5
718,718,5
719,719,5
720,720,5
721,721,5
722,722,5
723,723,5
724,724,4
725,725,5
726,726,6
727,727,5
728,728,5
729,729,6
730,730,5
731,731,5
732,732,5
733,733,5
734,734,5
735,735,5
736,736,5
737,737,6
738,738,5
739,739,5
740,740,6
741,741,5
742,742,5
743,743,5
744,744,5
745,745,6
746,746,6
747,747,5
748,748,6
749,749,6
750,750,5
751,751,5
752,752,5
753,753,5
754,754,6
755,755,6
756,756,6
757,757,5
758,758,5
759,759,5
760,760,5
761,761,5
762,762,6
763,763,5
764,764,6
765,765,6
766,766,5
767,767,5
768,768,6
769,769,5
770,770,6
771,771,5
772,772,5
773,773,6
774,774,6
775,775,5
776,776,6
777,777,6
778,778,5
779,779,5
780,780,6
781,781,5
782,782,5
783,783,5
784,784,5
785,785,5
786,786,5
787,787,6
788,788,6
789,789,5
790,790,6
791,791,5
792,792,6
793,793,5
794,794,6
795,795,5
796,796,5
797,797,7
798,798,6
799,799,6
800,800,5
801,801,5
802,802,7
803,803,6
804,804,6
805,805,7
806,806,7
807,807,7
808,808,5
809,809,6
810,810,5
811,811,6
812,812,5
813,813,4
814,814,6
815,815,5
816,816,6
817,817,6
818,818,5
819,819,5
820,820,5
821,821,7
822,822,5
823,823,5
824,824,5
825,825,5
826,826,7
827,827,5
828,828,8
829,829,6
830,830,4
831,831,6
832,832,3
833,833,4
834,834,5
835,835,5
836,836,7
837,837,7
838,838,7
839,839,5
840,840,7
841,841,5
842,842,6
843,843,5
844,844,6
845,845,5
846,846,5
847,847,6
848,848,5
849,849,5
850,850,5
851,851,5
852,852,5
853,853,6
854,854,6
855,855,7
856,856,6
857,857,7
858,858,7
859,859,6
860,860,5
861,861,6
862,862,5
863,863,5
864,864,5
865,865,5
866,866,6
867,867,6
868,868,6
869,869,6
870,870,6
871,871,5
872,872,4
873,873,7
874,874,7
875,875,7
876,876,4
877,877,6
878,878,6
879,879,5
880,880,5
881,881,6
882,882,6
883,883,5
884,884,6
885,885,5
886,886,6
887,887,7
888,888,6
889,889,5
890,890,5
891,891,5
892,892,6
893,893,5
894,894,6
895,895,6
896,896,7
897,897,6
898,898,7
899,899,3
900,900,5
901,901,7
902,902,7
903,903,7
904,904,7
905,905,5
906,906,5
907,907,6
908,908,6
909,909,6
910,910,6
911,911,6
912,912,6
913,913,7
914,914,6
915,915,6
916,916,5
917,917,6
918,918,6
919,919,6
